"","date","MtCO2.per.day"
"309",2019-11-05,13.97583942
"310",2019-11-06,13.85283563
"311",2019-11-07,14.43377824
"312",2019-11-08,15.48529399
"313",2019-11-09,14.70129271
"314",2019-11-10,13.22297638
"315",2019-11-11,13.87878228
"316",2019-11-12,16.2331151
"317",2019-11-13,16.94446631
"318",2019-11-14,16.34428875
"319",2019-11-15,15.44171966
"320",2019-11-16,14.37597565
"321",2019-11-17,14.01440714
"322",2019-11-18,14.62645684
"323",2019-11-19,14.38901716
"324",2019-11-20,13.70854106
"325",2019-11-21,13.79298444
"326",2019-11-22,14.34630483
"327",2019-11-23,14.13548572
"328",2019-11-24,13.27337408
"329",2019-11-25,13.6687475
"330",2019-11-26,13.66743599
"331",2019-11-27,13.83079492
"332",2019-11-28,13.6202863
"333",2019-11-29,14.09562288
"334",2019-11-30,13.28734181
"335",2019-12-01,13.45826087
"336",2019-12-02,15.071928
"337",2019-12-03,15.04302288
"338",2019-12-04,14.81432912
"339",2019-12-05,14.38629964
"340",2019-12-06,14.71635489
"341",2019-12-07,14.01978402
"342",2019-12-08,13.57786178
"343",2019-12-09,13.4971827
"344",2019-12-10,14.56460484
"345",2019-12-11,15.82686976
"346",2019-12-12,15.91582693
"347",2019-12-13,15.53940413
"348",2019-12-14,14.37090033
"349",2019-12-15,14.05622677
"350",2019-12-16,15.1099504
"351",2019-12-17,15.66654217
"352",2019-12-18,16.15886451
"353",2019-12-19,16.64103023
"354",2019-12-20,16.43462253
"355",2019-12-21,15.24768739
"356",2019-12-22,14.54502808
"357",2019-12-23,14.54859683
"358",2019-12-24,13.35332447
"359",2019-12-25,12.61702377
"360",2019-12-26,13.47318609
"361",2019-12-27,13.57602475
"362",2019-12-28,12.93854234
"363",2019-12-29,12.09507506
"364",2019-12-30,12.81926044
"365",2019-12-31,14.51361582
"366",2020-01-01,12.53080157
"367",2020-01-02,13.89975248
"368",2020-01-03,13.80590114
"369",2020-01-04,13.30839044
"370",2020-01-05,12.90942765
"371",2020-01-06,14.28574733
"372",2020-01-07,14.385569
"373",2020-01-08,14.1661375
"374",2020-01-09,14.39235209
"375",2020-01-10,13.63886807
"376",2020-01-11,12.5376146
"377",2020-01-12,12.73326913
"378",2020-01-13,13.96798683
"379",2020-01-14,13.95123992
"380",2020-01-15,13.27049559
"381",2020-01-16,14.49914988
"382",2020-01-17,15.48301097
"383",2020-01-18,14.24067523
"384",2020-01-19,14.50338963
"385",2020-01-20,16.94378169
"386",2020-01-21,16.62635089
"387",2020-01-22,15.66283932
"388",2020-01-23,15.45090008
"389",2020-01-24,14.91973082
"390",2020-01-25,13.79742855
"391",2020-01-26,13.46542079
"392",2020-01-27,14.38010287
"393",2020-01-28,14.54696271
"394",2020-01-29,15.33510744
"395",2020-01-30,15.78636586
"396",2020-01-31,15.38911491
"397",2020-02-01,13.51555586
"398",2020-02-02,11.9410986
"399",2020-02-03,12.7545287
"400",2020-02-04,13.21224523
"401",2020-02-05,14.46584089
"402",2020-02-06,14.87741825
"403",2020-02-07,14.80377065
"404",2020-02-08,14.12719237
"405",2020-02-09,12.51612931
"406",2020-02-10,14.20141151
"407",2020-02-11,14.19478743
"408",2020-02-12,14.5056946
"409",2020-02-13,15.15562414
"410",2020-02-14,16.4494122
"411",2020-02-15,15.18189038
"412",2020-02-16,13.40440437
"413",2020-02-17,13.16885136
"414",2020-02-18,13.8497942
"415",2020-02-19,15.09440117
"416",2020-02-20,15.64266697
"417",2020-02-21,16.11824256
"418",2020-02-22,14.33778566
"419",2020-02-23,12.58456564
"420",2020-02-24,13.2901438
"421",2020-02-25,13.30399499
"422",2020-02-26,13.84306884
"423",2020-02-27,14.97449923
"424",2020-02-28,15.36620108
"425",2020-02-29,13.86691687
"426",2020-03-01,12.41145069
"427",2020-03-02,13.16354521
"428",2020-03-03,13.10074545
"429",2020-03-04,13.32166734
"430",2020-03-05,13.42920594
"431",2020-03-06,14.17922776
"432",2020-03-07,13.23214702
"433",2020-03-08,11.43762397
"434",2020-03-09,12.57069071
"435",2020-03-10,13.10569644
"436",2020-03-11,13.66551249
"437",2020-03-12,13.41011031
"438",2020-03-13,13.34246623
"439",2020-03-14,13.34471206
"440",2020-03-15,12.58435595
"441",2020-03-16,14.18260032
"442",2020-03-17,13.31694384
"443",2020-03-18,12.76353691
"444",2020-03-19,12.19109539
"445",2020-03-20,11.86212518
"446",2020-03-21,12.06010497
"447",2020-03-22,11.47375108
"448",2020-03-23,12.41789254
"449",2020-03-24,11.95461395
"450",2020-03-25,11.66987263
"451",2020-03-26,11.32886153
"452",2020-03-27,11.07646525
"453",2020-03-28,9.65524156
"454",2020-03-29,9.27256716
"455",2020-03-30,10.4736075
"456",2020-03-31,11.08488993
"457",2020-04-01,10.34176296
"458",2020-04-02,10.3040046
"459",2020-04-03,10.41600616
"460",2020-04-04,10.10092105
"461",2020-04-05,9.29721132
"462",2020-04-06,9.93585337
"463",2020-04-07,10.08316127
"464",2020-04-08,10.21256534
"465",2020-04-09,10.38655063
"466",2020-04-10,10.41114363
"467",2020-04-11,9.41553094
"468",2020-04-12,8.37181473
"469",2020-04-13,10.0756448
"470",2020-04-14,10.94999933
"471",2020-04-15,11.09571303
"472",2020-04-16,10.59702081
"473",2020-04-17,10.80074985
"474",2020-04-18,9.63410692
"475",2020-04-19,9.11793393
"476",2020-04-20,10.1929699
"477",2020-04-21,10.3542342
"478",2020-04-22,10.24225677
"479",2020-04-23,10.54860852
"480",2020-04-24,10.25770584
"481",2020-04-25,9.51639847
"482",2020-04-26,8.79142989
"483",2020-04-27,9.94804471
"484",2020-04-28,9.88288302
"485",2020-04-29,9.69882795
"486",2020-04-30,10.0652556
"487",2020-05-01,9.54931938
"488",2020-05-02,8.80769606
"489",2020-05-03,8.57655041
"490",2020-05-04,9.85043702
"491",2020-05-05,10.40774752
"492",2020-05-06,10.52435209
"493",2020-05-07,10.07988834
"494",2020-05-08,10.24402173
"495",2020-05-09,10.176943
"496",2020-05-10,9.27464988
"497",2020-05-11,10.51783034
"498",2020-05-12,10.96887645
"499",2020-05-13,10.30104236
"500",2020-05-14,10.35707185
"501",2020-05-15,10.1124348
"502",2020-05-16,9.68487151
"503",2020-05-17,9.47760874
"504",2020-05-18,10.55882835
"505",2020-05-19,10.72257801
"506",2020-05-20,10.6968817
"507",2020-05-21,10.90577858
"508",2020-05-22,11.1878632
"509",2020-05-23,10.01644053
"510",2020-05-24,9.40624339
"511",2020-05-25,9.71907524
"512",2020-05-26,10.99274013
"513",2020-05-27,11.48088797
"514",2020-05-28,11.28706243
"515",2020-05-29,11.27369508
"516",2020-05-30,10.2779701
"517",2020-05-31,9.62408748
"518",2020-06-01,10.80279723
"519",2020-06-02,11.47857032
"520",2020-06-03,12.40614257
"521",2020-06-04,12.50097941
"522",2020-06-05,12.54497095
"523",2020-06-06,10.96707476
"524",2020-06-07,10.63424572
"525",2020-06-08,11.83396848
"526",2020-06-09,12.00019583
